Number,Start date,End date,Start_hour,Start_dayofweek,Start station number,Start station,End station number,End station,Bike number,Bike model,Trip_duration_minutes,Start_lat,Start_lon,End_lat,End_lon,Trip_distance_km,duration,destination
132825193,2023-08-01 00:01:00,2023-08-01 00:17:00,0,1,1219,"Lower Marsh, Waterloo",200056,"Vauxhall Walk, Vauxhall",54758,CLASSIC,16.0,51.5001394,-0.1139359999999953,51.488124,-0.120903,1.4204461659415744,16.0,469
132825194,2023-08-01 00:01:00,2023-08-01 00:08:00,0,1,1219,"Lower Marsh, Waterloo",1205,"Black Prince Road, Vauxhall",52921,CLASSIC,7.0,51.5001394,-0.1139359999999953,51.4908679,-0.116911864,1.0513256312910884,7.0,232
132826738,2023-08-01 07:05:00,2023-08-01 07:11:00,7,1,1219,"Lower Marsh, Waterloo",960,"Hop Exchange, The Borough",59287,CLASSIC,6.0,51.5001394,-0.1139359999999953,51.50462759,-0.091773776,1.6131393962675515,6.0,1
132826822,2023-08-01 07:08:00,2023-08-01 07:13:00,7,1,1219,"Lower Marsh, Waterloo",1200,"Ontario Street, Elephant & Castle",58631,CLASSIC,5.0,51.5001394,-0.1139359999999953,51.49652013,-0.101384068,0.9575584999618229,5.0,227
132827672,2023-08-01 07:36:00,2023-08-01 07:59:00,7,1,1219,"Lower Marsh, Waterloo",973,"Bethnal Green Road, Shoreditch",54395,CLASSIC,23.0,51.5001394,-0.1139359999999953,51.52364804,-0.074754872,3.766305248569335,23.0,14
132828471,2023-08-01 07:56:00,2023-08-01 08:05:00,7,1,1219,"Lower Marsh, Waterloo",960,"Hop Exchange, The Borough",19146,CLASSIC,9.0,51.5001394,-0.1139359999999953,51.50462759,-0.091773776,1.6131393962675515,9.0,1
132828804,2023-08-01 08:03:00,2023-08-01 08:24:00,8,1,1219,"Lower Marsh, Waterloo",1035,"Boston Place, Marylebone",60318,PBSC_EBIKE,21.0,51.5001394,-0.1139359999999953,51.522511,-0.162298,4.170050467746102,21.0,73
132828920,2023-08-01 08:05:00,2023-08-01 08:20:00,8,1,1219,"Lower Marsh, Waterloo",964,"Bath Street, St. Luke's",59439,CLASSIC,15.0,51.5001394,-0.1139359999999953,51.52589324,-0.090847761,3.279248835415176,15.0,5
132832235,2023-08-01 09:02:00,2023-08-01 09:11:00,9,1,1219,"Lower Marsh, Waterloo",200074,"Bury Place, Holborn",55730,CLASSIC,9.0,51.5001394,-0.1139359999999953,51.51742,-0.1231899999999939,2.0254350314783816,9.0,487
132832545,2023-08-01 09:08:00,2023-08-01 09:36:00,9,1,1219,"Lower Marsh, Waterloo",200251,"Bow Road Station, Bow",51678,CLASSIC,28.0,51.5001394,-0.1139359999999953,51.527058,-0.025296,6.825224327148043,28.0,648
132833074,2023-08-01 09:23:00,2023-08-01 09:42:00,9,1,1219,"Lower Marsh, Waterloo",1064,"Old Street Station, St. Luke's",57823,CLASSIC,19.0,51.5001394,-0.1139359999999953,51.525615,-0.0885326000000077,3.3338959096837355,19.0,102
132833383,2023-08-01 09:33:00,2023-08-01 09:51:00,9,1,1219,"Lower Marsh, Waterloo",967,"Golden Lane, Barbican",56624,CLASSIC,18.0,51.5001394,-0.1139359999999953,51.52174785,-0.094475072,2.7544509116238,18.0,8
132834649,2023-08-01 10:35:00,2023-08-01 10:40:00,10,1,1219,"Lower Marsh, Waterloo",998,"Lollard Street, Vauxhall",56458,CLASSIC,5.0,51.5001394,-0.1139359999999953,51.49288067,-0.114934001,0.8100853536111423,5.0,37
132834884,2023-08-01 10:48:00,2023-08-01 10:55:00,10,1,1219,"Lower Marsh, Waterloo",961,"Union Street, The Borough",52092,CLASSIC,7.0,51.5001394,-0.1139359999999953,51.50368837,-0.098497684,1.1391410563225703,7.0,2
132835511,2023-08-01 11:26:00,2023-08-01 11:44:00,11,1,1219,"Lower Marsh, Waterloo",1132,"Albert Gate, Hyde Park",53066,CLASSIC,18.0,51.5001394,-0.1139359999999953,51.50295379,-0.158456089,3.097446390407998,18.0,164
132835917,2023-08-01 11:48:00,2023-08-01 11:57:00,11,1,1219,"Lower Marsh, Waterloo",1015,"New Globe Walk, Bankside",50848,CLASSIC,9.0,51.5001394,-0.1139359999999953,51.5073853,-0.096440751,1.4544807344808608,9.0,53
132836999,2023-08-01 12:40:00,2023-08-01 12:43:00,12,1,1219,"Lower Marsh, Waterloo",200206,"Chicheley Street, South Bank",42119,CLASSIC,3.0,51.5001394,-0.1139359999999953,51.502698,-0.1167474,0.3446903739519257,3.0,606
132839203,2023-08-01 14:28:00,2023-08-01 15:01:00,14,1,1219,"Lower Marsh, Waterloo",300229,"Sidney Road, Stockwell",54332,CLASSIC,33.0,51.5001394,-0.1139359999999953,51.469202,-0.11902256,3.458065537063437,33.0,778
132839213,2023-08-01 14:28:00,2023-08-01 14:49:00,14,1,1219,"Lower Marsh, Waterloo",980,"Malet Street, Bloomsbury",58642,CLASSIC,21.0,51.5001394,-0.1139359999999953,51.52168078,-0.130431727,2.653413528846208,21.0,20
132841112,2023-08-01 15:54:00,2023-08-01 16:01:00,15,1,1219,"Lower Marsh, Waterloo",959,"Milroy Walk, South Bank",41485,CLASSIC,7.0,51.5001394,-0.1139359999999953,51.50724437,-0.106237501,0.9529362826512656,7.0,0
132841257,2023-08-01 16:00:00,2023-08-01 16:05:00,16,1,1219,"Lower Marsh, Waterloo",1059,"Albert Embankment, Vauxhall",22765,CLASSIC,5.0,51.5001394,-0.1139359999999953,51.4904357,-0.1228069000000005,1.241522660014297,5.0,97
132841304,2023-08-01 16:02:00,2023-08-01 16:10:00,16,1,1219,"Lower Marsh, Waterloo",1190,"Kennington Lane Rail Bridge, Vauxhall",58491,CLASSIC,8.0,51.5001394,-0.1139359999999953,51.4863434,-0.1224923999999987,1.644442760607803,8.0,218
132841406,2023-08-01 16:06:00,2023-08-01 16:10:00,16,1,1219,"Lower Marsh, Waterloo",1076,"Walnut Tree Walk, Vauxhall",40857,CLASSIC,4.0,51.5001394,-0.1139359999999953,51.49368637,-0.111014912,0.7454929126758035,4.0,114
132842529,2023-08-01 16:42:00,2023-08-01 16:54:00,16,1,1219,"Lower Marsh, Waterloo",1189,"Long Lane , Bermondsey",20131,CLASSIC,12.0,51.5001394,-0.1139359999999953,51.49907558,-0.085666316,1.96042971275128,12.0,217
132845036,2023-08-01 17:34:00,2023-08-01 17:50:00,17,1,1219,"Lower Marsh, Waterloo",2587,"Wormwood Street, Liverpool Street",58218,CLASSIC,16.0,51.5001394,-0.1139359999999953,51.51615461,-0.082422399,2.815675614095445,16.0,259
132847003,2023-08-01 18:03:00,2023-08-01 18:18:00,18,1,1219,"Lower Marsh, Waterloo",1102,"Leman Street, Aldgate",59252,CLASSIC,15.0,51.5001394,-0.1139359999999953,51.51236389,-0.06954201,3.3598021977881407,15.0,139
132850873,2023-08-01 19:09:00,2023-08-01 19:35:00,19,1,1219,"Lower Marsh, Waterloo",300041,"Finnis Street, Bethnal Green",58130,CLASSIC,26.0,51.5001394,-0.1139359999999953,51.52458353,-0.058631453,4.694154112758784,26.0,692
132852735,2023-08-01 20:05:00,2023-08-01 20:12:00,20,1,1219,"Lower Marsh, Waterloo",1155,"Regency Street, Westminster",10390,CLASSIC,7.0,51.5001394,-0.1139359999999953,51.49206037,-0.132224622,1.552392886287958,7.0,186
132852751,2023-08-01 20:05:00,2023-08-01 20:18:00,20,1,1219,"Lower Marsh, Waterloo",966,"New Kent Road, The Borough",51702,CLASSIC,13.0,51.5001394,-0.1139359999999953,51.49443626,-0.092921165,1.5869584956447205,13.0,7
132852903,2023-08-01 20:10:00,2023-08-01 20:52:00,20,1,1219,"Lower Marsh, Waterloo",300253,"Bermondsey Station, Bermondsey",53659,CLASSIC,42.0,51.5001394,-0.1139359999999953,51.497995,-0.063471392,3.501383885788006,42.0,800
132853280,2023-08-01 20:24:00,2023-08-01 20:30:00,20,1,1219,"Lower Marsh, Waterloo",3498,"Geraldine Street, Elephant & Castle",54941,CLASSIC,6.0,51.5001394,-0.1139359999999953,51.49612799,-0.106000855,0.707591940281602,6.0,370
132853713,2023-08-01 20:41:00,2023-08-01 20:49:00,20,1,1219,"Lower Marsh, Waterloo",10624,"Strata, Elephant & Castle",59265,CLASSIC,8.0,51.5001394,-0.1139359999999953,51.493146,-0.099828,1.2484085599966404,8.0,381
132857355,2023-08-02 07:01:00,2023-08-02 07:07:00,7,2,1219,"Lower Marsh, Waterloo",1200,"Ontario Street, Elephant & Castle",52665,CLASSIC,6.0,51.5001394,-0.1139359999999953,51.49652013,-0.101384068,0.9575584999618229,6.0,227
132857776,2023-08-02 07:20:00,2023-08-02 07:26:00,7,2,1219,"Lower Marsh, Waterloo",998,"Lollard Street, Vauxhall",59416,CLASSIC,6.0,51.5001394,-0.1139359999999953,51.49288067,-0.114934001,0.8100853536111423,6.0,37
132858158,2023-08-02 07:35:00,2023-08-02 07:57:00,7,2,1219,"Lower Marsh, Waterloo",973,"Bethnal Green Road, Shoreditch",57626,CLASSIC,22.0,51.5001394,-0.1139359999999953,51.52364804,-0.074754872,3.766305248569335,22.0,14
132859331,2023-08-02 08:09:00,2023-08-02 08:27:00,8,2,1219,"Lower Marsh, Waterloo",964,"Bath Street, St. Luke's",58669,CLASSIC,18.0,51.5001394,-0.1139359999999953,51.52589324,-0.090847761,3.279248835415176,18.0,5
132861812,2023-08-02 09:35:00,2023-08-02 10:01:00,9,2,1219,"Lower Marsh, Waterloo",200251,"Bow Road Station, Bow",53327,CLASSIC,26.0,51.5001394,-0.1139359999999953,51.527058,-0.025296,6.825224327148043,26.0,648
132862657,2023-08-02 10:21:00,2023-08-02 10:35:00,10,2,1219,"Lower Marsh, Waterloo",200137,"Caldwell Street, Stockwell",50672,CLASSIC,14.0,51.5001394,-0.1139359999999953,51.477839,-0.116493,2.4860032449967275,14.0,540
132862959,2023-08-02 10:40:00,2023-08-02 10:45:00,10,2,1219,"Lower Marsh, Waterloo",1076,"Walnut Tree Walk, Vauxhall",13396,CLASSIC,5.0,51.5001394,-0.1139359999999953,51.49368637,-0.111014912,0.7454929126758035,5.0,114
132863431,2023-08-02 11:09:00,2023-08-02 11:13:00,11,2,1219,"Lower Marsh, Waterloo",1076,"Walnut Tree Walk, Vauxhall",56862,CLASSIC,4.0,51.5001394,-0.1139359999999953,51.49368637,-0.111014912,0.7454929126758035,4.0,114
132866282,2023-08-02 15:15:00,2023-08-02 15:22:00,15,2,1219,"Lower Marsh, Waterloo",1208,"Dickens Square, Borough",52739,CLASSIC,7.0,51.5001394,-0.1139359999999953,51.49679128,-0.093913472,1.4351451558604398,7.0,235
132866980,2023-08-02 16:20:00,2023-08-02 16:25:00,16,2,1219,"Lower Marsh, Waterloo",1154,"Kennington Road  , Vauxhall",59574,CLASSIC,5.0,51.5001394,-0.1139359999999953,51.509224,-0.124826,1.960579978832086,5.0,185
132872251,2023-08-02 19:00:00,2023-08-02 19:29:00,19,2,1219,"Lower Marsh, Waterloo",200244,"Hollybush Gardens, Bethnal Green",59998,CLASSIC,29.0,51.5001394,-0.1139359999999953,51.527607,-0.057133,4.977866251909461,29.0,642
132872264,2023-08-02 19:00:00,2023-08-02 19:09:00,19,2,1219,"Lower Marsh, Waterloo",300050,"Walworth Square, Walworth",51564,CLASSIC,9.0,51.5001394,-0.1139359999999953,51.491327,-0.096518684,1.5537116782946496,9.0,701
132873348,2023-08-02 19:34:00,2023-08-02 19:50:00,19,2,1219,"Lower Marsh, Waterloo",2587,"Wormwood Street, Liverpool Street",52962,CLASSIC,16.0,51.5001394,-0.1139359999999953,51.51615461,-0.082422399,2.815675614095445,16.0,259
132874093,2023-08-02 20:00:00,2023-08-02 20:08:00,20,2,1219,"Lower Marsh, Waterloo",959,"Milroy Walk, South Bank",20830,CLASSIC,8.0,51.5001394,-0.1139359999999953,51.50724437,-0.106237501,0.9529362826512656,8.0,0
132874768,2023-08-02 20:29:00,2023-08-02 20:42:00,20,2,1219,"Lower Marsh, Waterloo",200084,"Doddington Grove, Kennington",54852,CLASSIC,13.0,51.5001394,-0.1139359999999953,51.48692917,-0.102996299,1.6526615960116238,13.0,496
132875403,2023-08-02 21:00:00,2023-08-02 21:07:00,21,2,1219,"Lower Marsh, Waterloo",200056,"Vauxhall Walk, Vauxhall",30722,CLASSIC,7.0,51.5001394,-0.1139359999999953,51.488124,-0.120903,1.4204461659415744,7.0,469
132875934,2023-08-02 21:33:00,2023-08-02 21:42:00,21,2,1219,"Lower Marsh, Waterloo",300239,"Victory Place, Walworth",59297,CLASSIC,9.0,51.5001394,-0.1139359999999953,51.492807,-0.091938,1.727358177427677,9.0,787
132878925,2023-08-03 07:04:00,2023-08-03 07:09:00,7,3,1219,"Lower Marsh, Waterloo",998,"Lollard Street, Vauxhall",59911,CLASSIC,5.0,51.5001394,-0.1139359999999953,51.49288067,-0.114934001,0.8100853536111423,5.0,37
132880267,2023-08-03 07:49:00,2023-08-03 08:11:00,7,3,1219,"Lower Marsh, Waterloo",973,"Bethnal Green Road, Shoreditch",40765,CLASSIC,22.0,51.5001394,-0.1139359999999953,51.52364804,-0.074754872,3.766305248569335,22.0,14
132882146,2023-08-03 08:28:00,2023-08-03 08:45:00,8,3,1219,"Lower Marsh, Waterloo",964,"Bath Street, St. Luke's",58739,CLASSIC,17.0,51.5001394,-0.1139359999999953,51.52589324,-0.090847761,3.279248835415176,17.0,5
132883843,2023-08-03 08:55:00,2023-08-03 09:04:00,8,3,1219,"Lower Marsh, Waterloo",1229,"High Holborn , Covent Garden",51397,CLASSIC,9.0,51.5001394,-0.1139359999999953,51.516226,-0.124826,1.9410428475361392,9.0,254
132885603,2023-08-03 09:43:00,2023-08-03 09:48:00,9,3,1219,"Lower Marsh, Waterloo",1076,"Walnut Tree Walk, Vauxhall",52111,CLASSIC,5.0,51.5001394,-0.1139359999999953,51.49368637,-0.111014912,0.7454929126758035,5.0,114
132885875,2023-08-03 09:54:00,2023-08-03 09:57:00,9,3,1219,"Lower Marsh, Waterloo",200039,"Sail Street, Vauxhall",52687,CLASSIC,3.0,51.5001394,-0.1139359999999953,51.495656,-0.114605,0.5006777062662104,3.0,453
132886057,2023-08-03 10:03:00,2023-08-03 10:17:00,10,3,1219,"Lower Marsh, Waterloo",200137,"Caldwell Street, Stockwell",50410,CLASSIC,14.0,51.5001394,-0.1139359999999953,51.477839,-0.116493,2.4860032449967275,14.0,540
132886361,2023-08-03 10:18:00,2023-08-03 10:27:00,10,3,1219,"Lower Marsh, Waterloo",3451,"Golden Square, Soho",60177,PBSC_EBIKE,9.0,51.5001394,-0.1139359999999953,51.5118973,-0.137043852,2.065716530575552,9.0,327
132886945,2023-08-03 10:46:00,2023-08-03 10:48:00,10,3,1219,"Lower Marsh, Waterloo",300025,"Archbishop's Park, Waterloo",41119,CLASSIC,2.0,51.5001394,-0.1139359999999953,51.49824168,-0.117495865,0.3244239102828076,2.0,676
132888901,2023-08-03 12:26:00,2023-08-03 12:31:00,12,3,1219,"Lower Marsh, Waterloo",1076,"Walnut Tree Walk, Vauxhall",50956,CLASSIC,5.0,51.5001394,-0.1139359999999953,51.49368637,-0.111014912,0.7454929126758035,5.0,114
132891843,2023-08-03 14:43:00,2023-08-03 14:47:00,14,3,1219,"Lower Marsh, Waterloo",998,"Lollard Street, Vauxhall",54319,CLASSIC,4.0,51.5001394,-0.1139359999999953,51.49288067,-0.114934001,0.8100853536111423,4.0,37
132893161,2023-08-03 15:37:00,2023-08-03 15:46:00,15,3,1219,"Lower Marsh, Waterloo",1208,"Dickens Square, Borough",52739,CLASSIC,9.0,51.5001394,-0.1139359999999953,51.49679128,-0.093913472,1.4351451558604398,9.0,235
132893208,2023-08-03 15:39:00,2023-08-03 15:44:00,15,3,1219,"Lower Marsh, Waterloo",962,"Stamford Street, South Bank",50410,CLASSIC,5.0,51.5001394,-0.1139359999999953,51.50556905,-0.111606696,0.6249057005137246,5.0,3
132894821,2023-08-03 16:38:00,2023-08-03 16:47:00,16,3,1219,"Lower Marsh, Waterloo",200133,"South Lambeth Road, Vauxhall",59313,CLASSIC,9.0,51.5001394,-0.1139359999999953,51.481747,-0.124642,2.175319166092176,9.0,536
