name,latitude,longitude
"River Street , Clerkenwell",51.52916347,-0.109970527
"Phillimore Gardens, Kensington",51.49960695,-0.197574246
"Christopher Street, Liverpool Street",51.52128377,-0.084605692
"St. Chad's Street, King's Cross",51.53005939,-0.120973687
"Sedding Street, Sloane Square",51.49313,-0.156876
"Broadcasting House, Marylebone",51.51811784,-0.144228881
"Charlbert Street, St. John's Wood",51.53430039,-0.1680743
"Maida Vale, Maida Vale",51.529857,-0.18348604
"New Globe Walk, Bankside",51.5073853,-0.096440751
"Park Street, Bankside",51.50597426,-0.092754157
"Brunswick Square, Bloomsbury",51.52395143,-0.122502346
"Malet Street, Bloomsbury",51.52168078,-0.130431727
"Scala Street, Fitzrovia",51.51991453,-0.136039674
"Argyle Street, Kings Cross",51.529416,-0.12394439999999918
"Great Russell Street, Bloomsbury",51.51772703,-0.127854211
"Cartwright Gardens , Bloomsbury",51.52635795,-0.125979294
"Hatton Wall, Holborn",51.5216612,-0.109006325
"Drury Lane, Covent Garden",51.51477076,-0.12221963
"Taviton Street, Bloomsbury",51.52505093,-0.131161087
"Drummond Street , Euston",51.527326,-0.13605286
"Lansdowne Drive, Hackney Central",51.539834,-0.062806212
"Northington Street , Holborn",51.5222641,-0.114079481
"Red Lion Square, Holborn",51.51943538,-0.119123345
"British Museum, Bloomsbury",51.51908011,-0.124678402
"Doric Way , Somers Town",51.5288338,-0.132250369
"Ampton Street , Clerkenwell",51.52728093,-0.11829517
"Bolsover Street, Fitzrovia",51.52351808,-0.143613641
"Hereford Road, Bayswater",51.513735,-0.193487
"Windsor Terrace, Hoxton",51.52915444,-0.093421615
"Fanshaw Street, Hoxton",51.52953709,-0.083353323
"Central House, Aldgate",51.515231,-0.07015
"Pancras Road, King's Cross",51.5341235,-0.129386874
"De Vere Gardens, Kensington",51.50173726,-0.184980612
"Penywern Road, Earl's Court",51.49159394,-0.192369256
"Abingdon Villas, Kensington",51.4973875,-0.197245586
"Shoreditch High Street, Shoreditch",51.5263778,-0.078130921
"Commercial Street, Shoreditch",51.52127071,-0.0755789
"Pindar Street, Liverpool Street",51.520955,-0.083493552
"Wenlock Road , Hoxton",51.53099181,-0.093903825
"Crawford Street, Marylebone",51.52026,-0.157183945
"Bruton Street, Mayfair",51.51073687,-0.144165239
"Boston Place, Marylebone",51.522511,-0.162298
"Nesham Street, Wapping",51.507131,-0.06691
"Warwick Avenue Station, Maida Vale",51.52334476,-0.183846408
"Godliman Street, St. Paul's",51.51248445,-0.099141408
"Curzon Street, Mayfair",51.50706909,-0.145904427
"East Road, Hoxton",51.52867339,-0.087459376
"Finsbury Library , Finsbury",51.52671796,-0.104298194
"Roscoe Street, St. Luke's",51.52295439,-0.094934859
"Grafton Street, Mayfair",51.5099923,-0.143495266
"Golden Lane, Barbican",51.52174785,-0.094475072
"Finsbury Circus, Liverpool Street",51.51707521,-0.086685542
"Paddington Street, Marylebone",51.52058381,-0.154701411
"Guilford Street , Bloomsbury",51.52334672,-0.120202614
"New Inn Yard, Shoreditch",51.52452699,-0.079248081
"Lisson Grove, St. John's Wood",51.52644828,-0.172190727
"Great Dover Street, The Borough",51.49738251,-0.089446947
"Cotton Garden Estate, Kennington",51.4907579,-0.106323685
"Murray Grove , Hoxton",51.53089041,-0.089782579
"William IV Street, Strand",51.50946212,-0.124749274
"Gower Place , Euston",51.52522753,-0.13518856
"Holborn Circus, Holborn",51.51795029,-0.108657431
"Hatton Garden, Holborn",51.51882555,-0.108028472
"Theobald's Road , Holborn",51.52059681,-0.116688468
"Euston Road, Euston",51.5262363,-0.134407652
"Calshot Street , King's Cross",51.53136059,-0.117069978
"Newgate Street , St. Paul's",51.515768,-0.09989400000000614
"Farringdon Lane, Clerkenwell",51.52352001,-0.108340165
"Old Street Station, St. Luke's",51.525615,-0.08853260000000773
"Vauxhall Cross, Vauxhall",51.48591714,-0.124469948
"Longford Street, The Regent's Park",51.52559505,-0.144083893
"Russell Square Station, Bloomsbury",51.52341837,-0.124121774
"Sadlers Sports Centre, Finsbury",51.52486887,-0.099489485
"Arundel Street, Temple",51.511726,-0.11385596
"Webber Street , Southwark",51.50069361,-0.102091246
"Great Titchfield Street, Fitzrovia",51.52025302,-0.141327271
"Panton Street, West End",51.50963938,-0.131510949
"Breams Buildings, Holborn",51.51593725,-0.111778348
"Tanner Street, Bermondsey",51.50064702,-0.078600401
"Sancroft Street, Vauxhall",51.48947903,-0.115156562
"Percy Street, Bloomsbury",51.51863,-0.13267630000001418
"Tavistock Place, Bloomsbury",51.5262503,-0.123509611
"Harrington Square 1, Camden Town",51.53301907,-0.139174593
"Walnut Tree Walk, Vauxhall",51.49368637,-0.111014912
"Borough Road, Elephant & Castle",51.49889832,-0.100440521
"Cloudesley Road, Angel",51.53440868,-0.109025404
"Bricklayers Arms, Borough",51.49506109,-0.085814489
"Aldersgate Street, Barbican",51.5208417,-0.097340162
"Falkirk Street, Hoxton",51.53095071,-0.078505384
"Gloucester Road (North), Kensington",51.49792478,-0.183834706
"Hampstead Road, Euston",51.52554222,-0.138231303
"Old Quebec Street, Marylebone",51.51457763,-0.158264483
"Queen Street 1, Bank",51.51155322,-0.0929401
"Jewry Street, Aldgate",51.51340693,-0.076793375
"Vicarage Gate, Kensington",51.50472376,-0.192538767
"Crosswall, Tower",51.51159481,-0.077121322
"Westbourne Grove, Bayswater",51.51552971,-0.190240716
"Woodstock Street, Mayfair",51.51410514,-0.147301667
"Finsbury Leisure Centre, St. Luke's",51.52600832,-0.096317627
"Soho Square , Soho",51.51563144,-0.132328837
"Wellington Road, St. John's Wood",51.53304322,-0.172528678
"Park Lane , Hyde Park",51.5100172,-0.157275636
"Gloucester Road (Central), South Kensington",51.49646288,-0.183289032
"Park Road (Baker Street), The Regent's Park",51.52451738,-0.158963647
"Braham Street, Aldgate",51.51423368,-0.073537654
"Little Argyll Street, West End",51.51449962,-0.141423695
"Lollard Street, Vauxhall",51.49288067,-0.114934001
"Rochester Row, Westminster",51.49582705,-0.13547809
"Bath Street, St. Luke's",51.52589324,-0.090847761
"The Guildhall, Guildhall",51.51573534,-0.093080779
"Baker Street, Marylebone",51.51891348,-0.156166631
"Norton Folgate, Liverpool Street",51.52111369,-0.078869751
"St. John Street, Finsbury",51.52836014,-0.104724625
"Eaton Square, Belgravia",51.49654462,-0.150905245
"Borough High Street, The Borough",51.50069491,-0.094524319
"Museum of London, Barbican",51.51782144,-0.096496865
"Wood Street, Guildhall",51.51700801,-0.09388536
"Emperor's Gate, South Kensington",51.49536226,-0.185296516
"Golden Square, Soho",51.5118973,-0.137043852
"Tower Gardens , Tower",51.50950627,-0.075459482
"Eversholt Street , Camden Town",51.53300545,-0.136792671
"Bethnal Green Road, Shoreditch",51.52364804,-0.074754872
"Derry Street, Kensington",51.50136494,-0.191462381
"Wapping High Street, Wapping",51.504904,-0.06797
"Clerkenwell Green, Clerkenwell",51.52326004,-0.104708922
"Queen Victoria Street, St. Paul's",51.51196176,-0.097441687
"Green Street, Mayfair",51.51227622,-0.157436972
"Lambeth Road, Vauxhall",51.49488108,-0.117974901
"Finsbury Square , Moorgate",51.52096262,-0.085634242
"Chapel Place, Marylebone",51.51530805,-0.147203711
"West Cromwell Road, Earl's Court",51.49372451,-0.198286569
"Pont Street, Knightsbridge",51.4968865,-0.161203828
"Kennington Cross, Kennington",51.48894022,-0.111435796
"Ilchester Place, Kensington",51.50074359,-0.202759212
"Vauxhall Bridge , Pimlico",51.48836528,-0.129361842
"Portugal Street, Holborn",51.51494305,-0.11614642
"Tachbrook Street, Victoria",51.49211134,-0.138364847
"Kennington Road Post Office, Oval",51.48478899,-0.110683213
"Holy Trinity Brompton, Knightsbridge",51.49705603,-0.168917077
"Chepstow Villas, Notting Hill",51.51213691,-0.201554966
"Hampton Street, Walworth",51.49217002,-0.101536865
"Bayswater Road, Hyde Park",51.511933,-0.174411
"Waterloo Station 3, Waterloo",51.50379168,-0.11282408
"Lexham Gardens, Kensington",51.49586666,-0.191933711
"New Kent Road, The Borough",51.49443626,-0.092921165
"Wright's Lane, Kensington",51.50039792,-0.193068385
"Trebovir Road, Earl's Court",51.49085368,-0.196170309
"Waterloo Place, St. James's",51.50663341,-0.131773845
"Guildhouse Street, Victoria",51.49234577,-0.141334487
"Southampton Place, Holborn",51.51760685,-0.121328408
"Sloane Avenue, Knightsbridge",51.4931848,-0.167894973
"Cleveland Gardens, Bayswater",51.515607,-0.183118788
"Orsett Terrace, Bayswater",51.517932,-0.183716959
"Seville Street, Knightsbridge",51.50185512,-0.159237081
"Eccleston Place, Victoria",51.49395092,-0.147624377
"Argyll Road, Kensington",51.50040123,-0.195455928
"Porchester Place, Paddington",51.5147461,-0.1651640000000043
"Hardwick Street, Clerkenwell",51.5278427,-0.1080682
"Collingham Gardens, Earl's Court",51.4916156,-0.186753859
"Sumner Place, South Kensington",51.49121192,-0.173715911
"Waterloo Road, South Bank",51.50486,-0.113001
"Worship Street, Shoreditch",51.521668,-0.079608554
"Gloucester Terrace, Bayswater",51.51791921,-0.188098863
"Ashley Place, Victoria",51.49616092,-0.140947636
"Warwick Square, Pimlico",51.48985626,-0.141923621
"North Audley Street, Mayfair",51.5129118,-0.153645496
"Belgrave Square, Belgravia",51.49941247,-0.152317537
"Bell Street , Marylebone",51.52202903,-0.165842551
"Riverlight North, Nine Elms",51.482362,-0.13612398
"Portland Place, Marylebone",51.52071513,-0.14521173
"Alderney Street, Pimlico",51.48805753,-0.140741432
"South Wharf Road, Paddington",51.51733558,-0.175810943
"Queen's Gate (South), South Kensington",51.49247977,-0.178433004
"Nutford Place, Marylebone",51.5165179,-0.164393768
"Claremont Square, Angel",51.53166681,-0.109914711
"Rampayne Street, Pimlico",51.48997562,-0.132845681
"Hyde Park Corner, Hyde Park",51.50311799,-0.153520935
"Wardour Street, Soho",51.51251523,-0.133201961
"Bankside Mix, Bankside",51.50581776,-0.100186337
"Hop Exchange, The Borough",51.50462759,-0.091773776
"Milroy Walk, South Bank",51.50724437,-0.106237501
"Union Street, The Borough",51.50368837,-0.098497684
"Stamford Street, South Bank",51.50556905,-0.111606696
"Great Tower Street, Monument",51.51048489,-0.082989638
"LMU Commercial Road, Whitechapel",51.51492456,-0.066078037
"Dorset Square, Marylebone",51.5225965,-0.161113413
"Leman Street, Aldgate",51.51236389,-0.06954201
"West Smithfield Rotunda, Farringdon",51.51821864,-0.100791005
"Margery Street, Clerkenwell",51.52659961,-0.112432615
"New Road 1 , Whitechapel",51.518154,-0.062697
"Grosvenor Crescent, Belgravia",51.50135267,-0.153194766
"Mallory Street, Marylebone",51.52505151,-0.166304359
"Denyer Street, Knightsbridge",51.49358391,-0.165101392
"Hinde Street, Marylebone",51.51681444,-0.151926305
"Cadogan Place, Knightsbridge",51.49464523,-0.158105512
"Campden Hill Road, Notting Hill",51.50658458,-0.199004026
"Wellington Arch, Hyde Park",51.50274025,-0.149569201
"Endsleigh Gardens, Euston",51.52683806,-0.130504336
"Moorfields, Moorgate",51.51906932,-0.088285377
"Old Brompton Road, South Kensington",51.49094565,-0.181190899
"Wormwood Street, Liverpool Street",51.51615461,-0.082422399
"St. Luke's Church, Chelsea",51.48971651,-0.170194408
"Bramham Gardens, Earl's Court",51.49016361,-0.19039362
"Chelsea Green, Chelsea",51.49066456,-0.166485083
"Horseferry Road, Westminster",51.49481649,-0.13045856
"Knightsbridge, Hyde Park",51.50275704,-0.155349725
"Rodney Road , Walworth",51.49148474,-0.090220911
"Queensway, Kensington Gardens",51.51031,-0.18740235
"Notting Hill Gate Station, Notting Hill",51.50935342,-0.196422
"Charles II Street, West End",51.50844614,-0.131961389
"Great Percy Street, Clerkenwell",51.52891573,-0.115480888
"St. James's Square, St. James's",51.50742485,-0.134621209
"Whitehall Place, Strand",51.50654321,-0.123179697
"Poured Lines, Bankside",51.50669284,-0.103137426
"Queen's Gate (Central), South Kensington",51.49396755,-0.17873226
"Carey Street, Holborn",51.51501025,-0.112753217
"Pall Mall East, West End",51.50777049,-0.130699733
"Liverpool Road (N1 Centre), Angel",51.53450449,-0.106992706
"Kennington Road, Vauxhall",51.49571828,-0.110889274
"Fashion Street, Whitechapel",51.51838043,-0.073438925
"Dock Street, Wapping",51.5097860151,-0.0681619805156
"Frampton Street, Paddington",51.5233534,-0.175116099
"Warren Street Station, Euston",51.52443845,-0.138019439
"Colombo Street, Southwark",51.50545935,-0.10569204
"Beaumont Street, Marylebone",51.52200801,-0.151359288
"Gloucester Street, Pimlico",51.49096258,-0.139625122
"Earnshaw Street , Covent Garden",51.51611887,-0.128585022
"Grosvenor Road, Pimlico",51.4853572,-0.142207481
"Berry Street, Clerkenwell",51.52285301,-0.099994052
"St. John's Wood Church, The Regent's Park",51.530529,-0.167515
"Triangle Car Park, Hyde Park",51.50645179,-0.170279555
"Harper Road, The Borough",51.49859784,-0.096191134
"Royal Avenue 1, Chelsea",51.489932,-0.162727
"Brushfield Street, Liverpool Street",51.518908,-0.079249
"Shoreditch Park, Hoxton",51.53404294,-0.086379717
"Chadwell Street, Angel",51.53051587,-0.106408455
"Clifton Road, Maida Vale",51.52557531,-0.179592915
"Houghton Street, Strand",51.51362054,-0.116764211
"Westminster University, Marylebone",51.52248185,-0.154907218
"Kensington Gore, Knightsbridge",51.50143293,-0.178656971
"Bourne Street, Belgravia",51.490959,-0.1532331
"Broadwick Street, Soho",51.5136846,-0.135580879
"Princes Square, Bayswater",51.5134891,-0.191351186
"LSBU (Borough Road), Elephant & Castle",51.49874469,-0.103132904
"St. Mary Axe, Aldgate",51.51422502,-0.080660083
"Tysoe Street, Clerkenwell",51.52644342,-0.109256828
"Southwick Street, Paddington",51.51595344,-0.169249375
"Queen's Gate (North), Kensington",51.50102668,-0.180246101
"Regency Street, Westminster",51.49206037,-0.132224622
"Belgrave Road, Victoria",51.49320445,-0.144132875
"Empire Square, The Borough",51.50082346,-0.089740764
"London Zoo,  The Regent's Park",51.53583617,-0.156285395
"Baylis Road, Waterloo",51.50144456,-0.110699309
"Belvedere Road 1, South Bank",51.50613324,-0.114686385
"Warwick Road, Olympia",51.49671237,-0.20528437
"Barbican Centre, Barbican",51.52004497,-0.092176447
"Lower Thames Street, Monument",51.50930161,-0.084985356
"Kensington Church Street, Kensington",51.50315739,-0.191496313
"Tooley Street, Bermondsey",51.5034938,-0.07962099
"North Wharf Road, Paddington",51.518623,-0.17660300000000007
"Royal Avenue 2, Chelsea",51.490083,-0.162418
"Smith Square, Westminster",51.49580589,-0.127575233
"Royal London Hospital, Whitechapel",51.518675,-0.06111
"Kingsway, Covent Garden",51.51440928,-0.118478757
"Lambeth North Station, Waterloo",51.49914063,-0.112031483
"St. John's Wood Road, St. John's Wood",51.5272947,-0.174653609
"Bedford Way, Bloomsbury",51.52367314,-0.128377673
"Elizabeth Bridge, Victoria",51.49236962,-0.147478734
"South Audley Street, Mayfair",51.50923,-0.15128999999998882
"St Mary's Hospital, Paddington",51.518268,-0.17110323
"Claverton Street, Pimlico",51.48483991,-0.138089062
"Montpelier Street, Knightsbridge",51.49888404,-0.165471605
"Kensington Olympia Station, Olympia",51.49815779,-0.209494128
"St. George's Square, Pimlico",51.488226,-0.135635511
"Swan Street, The Borough",51.50029631,-0.092762704
"Knaresborough Place, Earl's Court",51.49363156,-0.190603326
"Geraldine Street, Elephant & Castle",51.49612799,-0.106000855
"Curlew Street, Shad Thames",51.50227992,-0.074189225
"Vincent Square, Westminster",51.49398524,-0.136928582
"Serpentine Car Park, Hyde Park",51.505014,-0.17306032
"Marylebone Lane, Marylebone",51.51475963,-0.148105415
"Putney Pier, Wandsworth",51.466907,-0.216573
"Albert Gate, Hyde Park",51.50295379,-0.158456089
"Rathbone Street, Fitzrovia",51.51816295,-0.135025698
"Black Lion Gate, Kensington Gardens",51.50990837,-0.187842717
"Long Lane , Bermondsey",51.49907558,-0.085666316
